Seq. No.,Bid Item No.,Description,Bid Qty,UoM,Bid UP,Bid Ext,sorter,Sequence,Check Bid Item Code,Bill Code,% Comp,To-date,"PP01 
(Aug '21 - Oct '21)","PP02 
(Nov '21)","PP03 
(Dec '21)","PP04 
(Jan '22)","PP05 
(Feb '22)","PP06 
(Mar '22)","PP07 
(Apr '22)","PP08 
(May '22)","PP09 
(Jun '22)","PP10 
(Jul '22)","PP11 
(Aug '22)","PP12 
(Sep '22)","PP13 
(Oct '22)","PP14 
(Nov '22)","PP15 
(Dec '22)","PP16 
(Jan '23)","PP17 
(Feb '23)","PP18
(Mar '23)","PP19
(Apr '23)","PP20
(May '23)","PP21
(June '23)","PP22
(July '23)",CO Payment #1 (PP#23),"PP24
(Aug '23)","PP25
(Sept '23)","PP26
(Oct '23)","PP27
(Nov '23)","PP28
(Dec '23)","PP29
(Jan '24)","PP30
(Feb '24)",CO Payment #2 (PP#31),"PP32
(Mar '24)",CO Payment #3 (PP#33),"PP34
(Apr '24)","PP35
(May '24)","PP36
(June '24)",CO Payment #4 (PP#37),"PP38
(July '24)",PP39 (Aug '24),PP40 (Sept '24),CO Payment #5 (PP#41),PP42 (Oct '24),PP43 (Nov '24),PP44 (Dec '24),CO Payment #6 (PP#45),PP46 (Jan '25),PP47 (Feb '25),PP48 (Mar '25),CO Payment #7 (PP#49),PP50 (Apr '25),PP51 (May '25),PP52 (June '25),CO Payment #8 (PP#53),PP54 (July '25),PP55 (August '25),PP56 (September '25),CO Payment #9 (PP#57),PP58 (October '25),PP59 (November '25),PP60 (December '25),CO Payment #10 (PP#61),PP62 (January '26),Article 16 Ret Rel (PP#63),PP64 (February '26),PP65 (March '26),CO Payment #11 (PP#66)
0010,202.120001,REMOVING EXTG SUPERSTRUCTS 1 (Delancey St),1,L.S.,"$5,000,000.00 ","$5,000,000.00 ", 202.120001IPCRP1-0001-0000-RREMOVING EXTG SUPERSTRUCTS 1 (Delancey St) ,0001,202.120001, IPCRP1-0001-0000-R ,100%,1, -   , -   , -   ,0.175,0.33,0.364, -   ,0.001, -   , -   ,0.05, -   , -   ,0.08, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
0020,202.120002,REMOVING EXTG SUPERSTRUCTS 2 (East 10th St),1,L.S.,"$5,000,000.00 ","$5,000,000.00 ", 202.120002IPCRP1-0002-0000-RREMOVING EXTG SUPERSTRUCTS 2 (East 10th St) ,0002,202.120002, IPCRP1-0002-0000-R ,98%,0.98, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.19, -   ,0.79, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
0030,202.120003,REMOVING EXTG SUPERSTRUCTS 3 (Corlears Hook),1,L.S.,"$10,000,000.00 ","$10,000,000.00 ", 202.120003IPCRP1-0003-0000-RREMOVING EXTG SUPERSTRUCTS 3 (Corlears Hook) ,0003,202.120003, IPCRP1-0003-0000-R ,100%,1, -   , -   , -   , -   , -   ,0.01, -   , -   ,0.14,0.328,0.504, -   , -   , -   , -   , -   ,0.016, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.002, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
0040,202.19,REM OF SUBSTRUCTS,"1,395.00",C.Y.,$250.00 ,"$348,750.00 ", 202.19IPCRP1-0004-0000-RREM OF SUBSTRUCTS ,0004,202.19, IPCRP1-0004-0000-R ,58%,808.9, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,80.58,69.66, -   ,165.93, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,133.7, -   ,80.9, -   , -   , -   , -   , -   , -   , -   ,4, -   , -   , -   ,2.5, -   , -   , -   ,104.75, -   , -   ,19.25, -   , -   ,147.63, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
0050,203.03,EMBANKMENT IN PLACE,140,C.Y.,$200.00 ,"$28,000.00 ", 203.03IPCRP1-0005-0000-REMBANKMENT IN PLACE ,0005,203.03, IPCRP1-0005-0000-R ,0%,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
0060,203.0395002,EXP&ED POLYSTYRENE FILL,"50,278.00",C.F.,$2.00 ,"$100,556.00 ", 203.03950017IPCRP1-0006-0000-REXP&ED POLYSTYRENE FILL ,0006,203.0395002, IPCRP1-0006-0000-R ,60%,30417.87, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,392.00","1,920.00","5,504.00", -   ,512,"16,299.23","2,278.64", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,512, -   , -   , -   , -   , -   , -   , -   , -   
0070,203.07,SELECT GRANULAR FILL,510,C.Y.,$250.00 ,"$127,500.00 ", 203.07IPCRP1-0007-0000-RSELECT GRANULAR FILL ,0007,203.07, IPCRP1-0007-0000-R ,40%,203.28, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,203.28, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
0080,203.1203002,PREFABRICATED VERTICAL DRAINS,"1,482,525.00",L.F.,$10.00 ,"$14,825,250.00 ", 203.12030017IPCRP1-0008-0000-RPREFABRICATED VERTICAL DRAINS ,0008,203.1203002, IPCRP1-0008-0000-R ,23%,342377.4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"33,369.50","57,109.50", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"46,460.10","14,522.50", -   ,"29,852.10","36,220.80","49,586.50", -   ,"55,887.10","10,812.90", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"8,556.40", -   , -   , -   , -   , -   , -   
0090,203.1223002,FURN EQUIPMENT FOR INSTALL PREFABRICATED VERTICAL,1,L.S.,"$2,500,000.00 ","$2,500,000.00 ", 203.12230017IPCRP1-0009-0000-RFURN EQUIPMENT FOR INSTALL PREFABRICATED VERTICAL ,0009,203.1223002, IPCRP1-0009-0000-R ,100%,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.75, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.25, -   , -   , -   , -   , -   , -   
0100,203.1243002,PREPARING SURFACE FOR PREFABRICATED VERTICAL DRAIN,"437,475.00",S.F.,$1.50 ,"$656,212.50 ", 203.12430017IPCRP1-0010-0000-RPREPARING SURFACE FOR PREFABRICATED VERTICAL DRAIN ,0010,203.1243002, IPCRP1-0010-0000-R ,26%,114560.94, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"23,158.62", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"74,248.24", -   , -   , -   , -   , -   , -   , -   , -   ,"14,367.33", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,786.75", -   , -   , -   , -   , -   , -   
