Segment ID,Project Name,Project Number,Organization Name,Vendor ID,Contract Number,Contract Description,GC Phase Code,GC Phase Code Description,Breakout Code,Breakout Code Description,Invoice Code,Invoice Code Description,Handling Code,Handling Code Description,Account Code,Subcontract Item Number,Category Code,Subjob,Sub Phase Code,Sub Phase Code Description,Scheduled Value Amount,Net Change by Change Order,Contract Sum To Date,Total Billed To Date,Total Percent Complete To Date,Total Retention To Date,Total Balance Due
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,"000:59.1-Video Inspection of Various Size new RCP Pipe (12"" - 60"")",,,,,,,0059-1000,000*IPCRP1*S*975877952,S,IPCRP1,000*IPCRP1*S*975877952,"000:59.1-Video Inspection of Various Size new RCP Pipe (12"" - 60"")","18,088.00",0.00,"18,088.00",0.00,0.00,0.00,"18,088.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,"000:59.3-Escalation (2.00% annually, > 6/30/22)",,,,,,,0059-1000,000*IPCRP1*S*975877953,S,IPCRP1,000*IPCRP1*S*975877953,"000:59.3-Escalation (2.00% annually, > 6/30/22)",772.00,0.00,772.00,0.00,0.00,0.00,772.00
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,"000:59.2-Video Inspection of Various Size existing RCP Pipe (12"" - 60"")",,,,,,,0059-1000,000*IPCRP1*S*975877954,S,IPCRP1,000*IPCRP1*S*975877954,"000:59.2-Video Inspection of Various Size existing RCP Pipe (12"" - 60"")","1,140.00",0.00,"1,140.00",0.00,0.00,0.00,"1,140.00"
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,001:CO-01-1-(2) Operators w/Vac/Jet & CCTV Trucks,,,,,,,0059-1000,001*IPCRP1*S*1301667605,S,IPCRP1,001*IPCRP1*S*1301667605,001:CO-01-1-(2) Operators w/Vac/Jet & CCTV Trucks,0.00,"5,360.00","5,360.00","5,360.00",100.00,0.00,0.00
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,001:CO-01-2-2 hrs each for (2) Operators (2/3/23),,,,,,,0059-1000,001*IPCRP1*S*1301667606,S,IPCRP1,001*IPCRP1*S*1301667606,001:CO-01-2-2 hrs each for (2) Operators (2/3/23),0.00,"1,160.00","1,160.00","1,160.00",100.00,0.00,0.00
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,001:CO-01-3-(2) Operators w/Vac/Jet & CCTV Trucks,,,,,,,0059-1000,001*IPCRP1*S*1301667607,S,IPCRP1,001*IPCRP1*S*1301667607,001:CO-01-3-(2) Operators w/Vac/Jet & CCTV Trucks,0.00,"5,360.00","5,360.00","5,360.00",100.00,0.00,0.00
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,001:CO-01-4-4 hrs each for (2) Operators (2/6/23),,,,,,,0059-1000,001*IPCRP1*S*1301667608,S,IPCRP1,001*IPCRP1*S*1301667608,001:CO-01-4-4 hrs each for (2) Operators (2/6/23),0.00,"2,320.00","2,320.00","2,320.00",100.00,0.00,0.00
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,001:CO-01-5-3.66 Tons vacuumed and disposed of off-site,,,,,,,0059-1000,001*IPCRP1*S*1301667609,S,IPCRP1,001*IPCRP1*S*1301667609,001:CO-01-5-3.66 Tons vacuumed and disposed of off-site,0.00,732.00,732.00,732.00,100.00,0.00,0.00
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,002:CO-002-Clean & TV Shift Rate (2) Operators w/Vac/Jet & CCTV Trucks,,,,,,,0059-1000,002*IPCRP1*S*1301855975,S,IPCRP1,002*IPCRP1*S*1301855975,002:CO-002-Clean & TV Shift Rate (2) Operators w/Vac/Jet & CCTV Trucks,0.00,"5,360.00","5,360.00","5,360.00",100.00,0.00,0.00
,SANDRESM1 - East Side Coastal Resiliency From Montgomery St To E 15th St,IPC-IPCRP1,"11 Enviro Group, LLC",11EN01,IPCRP1-61,Video Inspection,,003:CO-003-1-Clean & TV Shift Rate (2) Operators w/Vac/Jet & CCTV Trucks,,,,,,,0059-1000,003*IPCRP1*S*1302370641,S,IPCRP1,003*IPCRP1*S*1302370641,003:CO-003-1-Clean & TV Shift Rate (2) Operators w/Vac/Jet & CCTV Trucks,0.00,"10,720.00","10,720.00","10,720.00",100.00,0.00,0.00
